date,site,expected_kwh,actual_kwh,residual_kwh,pct_gap,rolling_gap_7d,is_anomaly
2025-01-01,Site_A,74.74568733573251,74.70854629964278,-0.037141036089735735,-0.049689871634882,,False
2025-01-02,Site_A,101.20612660752826,96.03779091916542,-5.168335688362845,-5.106741915344082,,False
2025-01-03,Site_A,54.05308860899294,55.84614425315782,1.7930556441648804,3.317212189548343,-0.6130731991435404,False
2025-01-04,Site_A,96.85132202535489,93.69123508336303,-3.160086941991864,-3.2628227224039117,-1.2755105799586333,False
2025-01-05,Site_A,52.30464481941439,53.531129600786706,1.2264847813723136,2.344886932330469,-0.5514310775008128,False
2025-01-06,Site_A,96.36778087612386,95.29237412096538,-1.0754067551584825,-1.1159401465733303,-0.6455159223462323,False
2025-01-07,Site_A,58.69153206640428,60.883785630462725,2.192253564058447,3.7352127076493864,-0.019697546632572584,False
2025-01-08,Site_A,84.3778339921973,89.0249939963745,4.647160004177209,5.507560201897276,0.7741953210148785,False
2025-01-09,Site_A,91.48565134121036,87.40538500774252,-4.080266333467833,-4.46000686845397,0.8665860419991803,False
2025-01-10,Site_A,65.26329964980552,63.99927672764687,-1.2640229221586452,-1.9368051093665657,0.11601214215419331,False
2025-01-11,Site_A,68.2508145524367,69.57441894157941,1.3236043891427158,1.9393239448091837,0.8591759517560641,False
2025-01-12,Site_A,106.18673892012104,101.71561958283098,-4.471119337290062,-4.210619313446909,-0.07732494049784704,False
2025-01-13,Site_A,81.16983497616162,83.18508522515147,2.015250248989844,2.482757602724821,0.4367747379733174,False
2025-01-14,Site_A,77.51629550953963,79.07002981337664,1.553734303837004,2.004397002751237,0.18951535155929614,False
2025-01-15,Site_A,95.63705719861616,96.39679332608186,0.7597361274657004,0.7943951327233997,-0.48379394403697196,False
2025-01-16,Site_A,64.11443937463633,64.46287947550425,0.34844010086791855,0.5434658779934078,0.23098787688408207,False
2025-01-17,Site_A,96.24915331703308,99.20561104237758,2.9564577253445066,3.071671410559106,0.9464845225877495,False
2025-01-18,Site_A,71.26708996601062,68.50364490318714,-2.763445062823479,-3.877589311057106,0.11549691460685096,False
2025-01-19,Site_A,111.2957890655822,111.14290903081528,-0.15288003476692325,-0.1373637188347145,0.6973905709800217,False
2025-01-20,Site_A,94.82881645566741,92.28445933434047,-2.5443571213269394,-2.683105427680234,-0.04058986193498632,False
2025-01-21,Site_A,92.66061967803473,95.00349104072612,2.3428713626913833,2.5284434432147043,0.03427391527408043,False
2025-01-22,Site_A,74.80855941489828,70.92746035796385,-3.8810990569344312,-5.188041431742238,-0.8203598796495821,False
2025-01-23,Site_A,106.3122137510626,105.57884270699994,-0.7333710440626646,-0.689827648382813,-0.9965446691318994,False
2025-01-24,Site_A,113.47561632728372,115.12708597667522,1.651469649391501,1.455351997937928,-1.2274474423634965,False
2025-01-25,Site_A,97.12280121670928,93.95841730111732,-3.164383915591955,-3.258126697284289,-1.138952783253094,False
2025-01-26,Site_A,95.79029324013207,93.5012588931503,-2.2890343469817793,-2.3896307961428924,-1.460705222868548,False
2025-01-27,Site_A,90.51141399001428,91.01328480516838,0.5018708151541063,0.5544834546607298,-0.9981925253912672,False
2025-01-28,Site_A,77.88486314887324,79.31005024564388,1.4251870967706424,1.8298640315339125,-1.0979895842028091,False
2025-01-29,Site_A,106.64600611123207,103.02495501991194,-3.621051091320126,-3.3953930609866068,-0.8418969598091474,False
2025-01-30,Site_A,93.17370528221764,90.61394277987188,-2.5597625023457624,-2.747301392160367,-1.1358217803487978,False
2025-01-31,Site_A,108.34664017286406,111.19154455374314,2.844904380879086,2.6257430561207253,-0.9686230577512555,False
2025-02-01,Site_A,113.13719385328793,112.19698435419161,-0.9402094990963121,-0.8310348410404632,-0.6218956497164232,False
2025-02-02,Site_A,97.50569531934482,95.43234036572346,-2.0733549536213616,-2.1263936909847505,-0.5842903489795458,False
2025-02-03,Site_A,111.66384436542235,112.87481692588295,1.210972560460604,1.0844804487454955,-0.5085764926817221,False
2025-02-04,Site_A,116.21552801894613,113.93409033328852,-2.2814376856576075,-1.9631091684113626,-1.0504298069596185,False
2025-02-05,Site_A,82.38230436008355,84.35184830014047,1.9695439400569228,2.3907366458800103,-0.22383984883581615,False
2025-02-06,Site_A,100.17040033952001,98.67945667599392,-1.490943663526096,-1.4884074122421942,-0.04399785170464859,False
2025-02-07,Site_A,66.17935629026759,67.26677535326415,1.0874190629965597,1.6431393775228917,-0.18436980579005338,False
2025-02-08,Site_A,113.62511285011777,116.52718761025507,2.902074760137296,2.5540786603797754,0.2992178372699807,False
2025-02-09,Site_A,142.1348940579612,140.80642288620854,-1.3284711717526534,-0.9346551953744139,0.4694661937857431,False
2025-02-10,Site_A,124.41415100675377,126.53874094516998,2.1245899384162072,1.7076754703738442,0.5584940540183643,False
2025-02-11,Site_A,115.04171710092835,114.50658679527061,-0.535130305657745,-0.46516195962918794,0.7724865124158179,False
2025-02-12,Site_A,83.37137044361624,89.74013451548224,6.368764071865996,7.639030086680858,1.5222427182445106,False
2025-02-13,Site_A,137.09554544294923,143.14218522158862,6.046639778639388,4.410529721518654,2.364948023067489,False
2025-02-14,Site_A,122.11398370729181,117.39297183179758,-4.721011875494227,-3.8660698244113716,1.5779181370768798,False
2025-02-15,Site_A,107.40201092611014,109.6047675084814,2.202756582371265,2.0509453811686127,1.506041954332428,False
2025-02-16,Site_A,132.24222045158865,128.98972051773143,-3.252499933857223,-2.459501906993388,1.2882067098154315,False
2025-02-17,Site_A,100.67548539298043,102.12304459965713,1.4475592066767007,1.4378467618271165,1.2496597514516135,False
2025-02-18,Site_A,88.39277164170483,89.5513498816686,1.1585782399637736,1.310716044361643,1.5033566091645891,False
2025-02-19,Site_A,153.47599002359158,148.6603251151297,-4.815664908461883,-3.137731776626196,-0.03618079987927558,False
2025-02-20,Site_A,106.86151086192658,111.01645266156561,4.154941799639033,3.8881555820481926,-0.11080567694648437,False
2025-02-21,Site_A,122.1582505117875,123.5738794747532,1.4156289629656982,1.1588484257386273,0.6070397873606582,False
2025-02-22,Site_A,128.5643383576175,127.88548127614075,-0.6788570814767354,-0.5280290710075535,0.238614865621206,False
2025-02-23,Site_A,131.90747472469204,130.13834374485634,-1.769130979835694,-1.3411908487582673,0.3983735882262232,False
2025-02-24,Site_A,112.75613661847184,114.63123386520009,1.8750972467282452,1.6629669151160547,0.430533610124643,False
2025-02-25,Site_A,166.05273515450094,168.42381871158753,2.3710835570865925,1.4279099678065876,0.44727559918820653,False
2025-02-26,Site_A,174.09221990982198,174.30871114189338,0.2164912320714052,0.12435434058084013,0.9132879016463545,False
2025-02-27,Site_A,114.84593573450164,105.85950937320015,-8.986426361301483,-7.824766548183394,-0.7599866883867293,False
2025-02-28,Site_A,131.7596628867602,132.7736677749122,1.0140048881520158,0.7695867353755257,-0.8155955012957438,False
2025-03-01,Site_A,109.48137276421826,106.0854875370012,-3.3958852272170645,-3.101792699047102,-1.183276019587108,False
2025-03-02,Site_A,174.85512522239392,174.31561664112849,-0.5395085812654372,-0.30854604952485637,-1.0357553339823349,False
2025-03-03,Site_A,114.86704985589782,111.19282279736989,-3.674227058527933,-3.1986780048214847,-1.7302760368305548,False
2025-03-04,Site_A,126.197461871389,121.7013861942852,-4.496075677103789,-3.5627306686134883,-2.4432246991762803,False
